No,name,LCD,VF,Density,PLD,Va,ASA,,,,,,
60,BTA-COF4 AA_II,9.02697,0.48427,1.0455,8.54052,0.4632,917.12201,,,,,,
61,BTMA-TAPA-COF,11.33369,0.57216,0.79084,10.69113,0.72349,1461.26001,,,,,,
62,BTP-COF,34.61577,0.79281,0.42038,34.44702,1.88595,1927.94995,,,,,,
63,BTT-DAB-COF,22.52993,0.73517,0.58991,22.28222,1.24624,1822.82996,,,,,,
64,BTT-DADP-COF,29.53267,0.77599,0.47864,29.34631,1.62124,1935.90002,,,,,,
65,BTT-TAB-COF,14.87005,0.64616,0.75347,14.50589,0.85758,1511.42004,,,,,,
66,BTT-TAPT-COF,15.74056,0.67012,0.70318,15.39744,0.95299,1649.58997,,,,,,
67,BZL-COF,34.97957,0.79182,0.42802,34.82462,1.84997,1871.72998,,,,,,
68,C4-SHz-COF,16.06665,0.71635,0.57845,15.76522,1.23841,2174.21997,,,,,,
69,Car-ETTA COF,8.45883,0.56871,0.84156,7.84341,0.67578,1408.23999,,,,,,
70,CC-TAPH-COF,9.34648,0.74865,0.48814,7.16546,1.53366,4355.20996,,,,,,
71,CCOF-1,9.5929,0.72543,0.52665,7.98521,1.37745,3984.08008,,,,,,
72,CCOF-2,22.89609,0.93775,0.1161,18.49772,8.0768,8557.29004,,,,,,
73,CCOF 3,14.6168,0.65546,0.75629,14.25063,0.86668,1663.98999,,,,,,
74,CCOF 4,12.13117,0.50718,1.00778,11.68134,0.50327,851.37299,,,,,,
75,CCOF 5,5.60554,0.5691,0.83157,5.02763,0.68437,1138.80005,,,,,,
76,CCOF 6,5.65179,0.5521,0.88986,5.05582,0.62043,621.33502,,,,,,
77,CCOF-CuTPP (1) with P1 mode,17.77181,0.87886,0.24668,14.42151,3.56271,6630.52002,,,,,,
78,CCOF-MPC,5.44216,0.53749,0.86664,1.78729,0.6202,0,,,,,,
79,CCOF-TpBD-Me2,21.90241,0.69497,0.60059,21.6511,1.15715,1671.43005,,,,,,
80,CCOF-TpBD,23.68264,0.73418,0.53429,23.44472,1.37413,1937.41003,,,,,,
81,CCOF-TpPa-1,14.80414,0.65526,0.71928,14.56137,0.91099,1609.76001,,,,,,
82,CCOF-TpTab,11.39779,0.58702,0.83109,10.9469,0.70632,1402.31995,,,,,,
83,CF3-TFP-TAPB,19.35841,0.75318,0.52209,18.84768,1.44263,2235.11011,,,,,,
84,CF3-TFP-TTA,19.00793,0.72625,0.58868,18.58985,1.2337,1896.52002,,,,,,
85,C2N-h2D,3.56042,0.28328,1.78335,2.57161,0.15885,0,,,,,,
86,TpTG-Br,3.23288,0.34787,1.74887,2.57751,0.19891,0,,,,,,
87,TpTG-Cl,3.36969,0.35645,1.52098,2.75123,0.23436,0,,,,,,
88,COF-1,4.1917,0.50438,0.90902,3.05301,0.55486,0,,,,,,
89,COF-1,37.7406,0.83613,0.30436,37.54964,2.74717,2652.96997,,,,,,
90,COF-1,34.39746,0.9069,0.176,27.89626,5.153,7757.62012,,,,,,
91,COF-10,31.52025,0.7784,0.44676,31.34048,1.74232,1949.42004,,,,,,
92,COF-102,9.04156,0.7805,0.42055,7.98976,1.85589,5128.68994,,,,,,
93,COF-103,9.68318,0.79716,0.38874,8.50466,2.05064,5315.4502,,,,,,
94,COF-105,18.79873,0.91122,0.17628,16.12301,5.16908,6644.75977,,,,,,
95,COF-108,27.45829,0.91614,0.17048,19.05082,5.37396,6386.62988,,,,,,
96,COF-112,3.59433,0.41128,1.41616,2.03417,0.29042,0,,,,,,
97,COF-119,24.5783,0.73436,0.54301,24.20917,1.35239,2130.01001,,,,,,
98,COF-119,24.81511,0.75942,0.4908,24.5001,1.54731,2467.05005,,,,,,
99,COF-11?,8.38547,0.53722,0.88067,7.65148,0.61001,514.70801,,,,,,
100,COF-120,27.69352,0.78329,0.42998,27.51608,1.82171,2252.38989,,,,,,
101,COF-120,30.71288,0.79404,0.40804,30.65049,1.94597,2236.40991,,,,,,
102,COF-120,29.67223,0.80333,0.39042,29.45895,2.0576,2426.79004,,,,,,
103,COF-121,34.55962,0.82138,0.34938,34.39789,2.35096,2458.88989,,,,,,
104,COF-121,37.61945,0.82077,0.35122,37.59113,2.3369,2310.25,,,,,,
105,COF-121,36.62303,0.83577,0.32155,36.4962,2.59922,2594.13989,,,,,,
106,COF-122,55.49799,0.86184,0.26256,55.44838,3.28246,2374.01001,,,,,,
107,COF-122,60.77867,0.87495,0.23462,60.73781,3.72916,2414.87988,,,,,,
108,COF-14?,10.52235,0.5936,0.79133,9.83864,0.75013,1355.10999,,,,,,
109,COF-16?,12.7305,0.63643,0.73698,12.22862,0.86356,1936.48999,,,,,,
110,COF-18?,14.70936,0.65676,0.73731,14.32871,0.89075,1705.06995,,,,,,
111,COF-2,34.56118,0.90721,0.17591,27.14113,5.15738,7632.5498,,,,,,
112,COF-202,9.86844,0.72369,0.52206,5.40988,1.38622,4239.87012,,,,,,
113,single crstal  COF-300-hydrated,4.26472,0.43218,1.1151,4.09217,0.38757,280.26501,,,,,,
