[-0.14812439 -0.03906137]
[0.02747138 0.12739358]
[-0.12353092 -0.02964847]
[-0.16229797 -0.06801392]
[-0.08550762  0.03288811]
[-0.17253834 -0.09042562]
[0.0481801 0.1937229]
[0.05236414 0.21937028]
[ 0.36486756 -0.04553129]
[ 0.36129987 -0.04556287]
[ 0.36842046 -0.04532751]
[-0.07610611 -0.04070247]
[-0.076749   0.0116914]
[-0.06777199  0.0811362 ]
[-0.13206408 -0.03566658]
[-0.1134748  -0.07494315]
[-0.13688877 -0.05745883]
[-0.16994834 -0.07358446]
[-0.23486889 -0.13935278]
[0.01428219 0.14587982]
[0.02586448 0.14637997]
[ 0.25791178 -0.0077675 ]
[-0.14701499 -0.01316027]
[-0.09097266  0.03164327]
[-0.06504356  0.02374157]
[-0.3668654  -0.15831154]
[-0.02820976  0.23250007]
[0.18428013 0.12317527]
[0.08739803 0.33315872]
[-0.03046739 -0.05122848]
[-0.11290913 -0.04386763]
[-0.10884999 -0.04781751]
[ 0.15394246 -0.01365807]
[-0.01422025  0.07080212]
[-0.25288367 -0.05547551]
[-0.11313039  0.05706673]
[-0.0092835  -0.02205297]
[0.0125525  0.10130651]
[ 0.15776669 -0.00017181]
[-0.02193671 -0.00813983]
[0.02802957 0.25354205]
[0.18050636 0.01416482]
[-0.0950165  -0.03550168]
[-0.1286877  -0.03534911]
[-0.22063845 -0.05648524]
[-0.13607582 -0.02474128]
[-0.01247456 -0.05370885]
[-0.04751659 -0.04135008]
[-0.15775989 -0.05569063]
[-0.01114424  0.04866645]
[-0.00633368  0.04744779]
[-0.01153965  0.04626345]
[0.17821102 0.11889466]
[-0.12539386  0.15219487]
[-0.11908649  0.01090495]
[-0.08110479  0.01470697]
[-0.14017865 -0.02517093]
[-0.17351505 -0.08578808]
[-0.23233086 -0.06971489]
[-0.06574986  0.01889708]
[-0.15843978 -0.03166486]
[0.00468032 0.07065074]
[ 0.00598    -0.10971888]
[-0.20702193 -0.08391127]
[-0.18351641 -0.02750775]
[-0.17931865 -0.13277567]
[-0.09575353  0.02014509]
[ 0.15584733 -0.0025197 ]
